approach,block,model,feature,coefficient_pp
text,market,linear,mean_price,-1.1217415282638772
text,market,linear,price_sd,0.5102294617062269
text,market,linear,log_trades,5.764727874617067
text,market,linear,log_units,-1.5842002863916782
text,market,linear,cost_mean,-3.735176272790954
text,market,ridge,mean_price,-1.2335240423731508
text,market,ridge,price_sd,-0.15490303910769462
text,market,ridge,log_trades,4.312952731484725
text,market,ridge,log_units,-0.8739810225773291
text,market,ridge,cost_mean,-2.925056132099606
text,interpretable,linear,mean_price,4.198154786799929
text,interpretable,linear,price_sd,-1.974937421133668
text,interpretable,linear,log_trades,-4.26916158099634
text,interpretable,linear,log_units,7.92141098104341
text,interpretable,linear,words,105.70118557859678
text,interpretable,linear,characters,-80.80926950306649
text,interpretable,linear,mean_word_length,33.05815824687209
text,interpretable,linear,question_mark,-9.386908184362126
text,interpretable,linear,threshold,-21.20554786418114
text,interpretable,linear,negation,3.745879656039707
text,interpretable,linear,positive_words,-0.862049679721339
text,interpretable,linear,negative_words,3.3884205529437947
text,interpretable,linear,political_words,-5.9475130421764355
text,interpretable,linear,capitalized_tokens,-35.04377980741513
text,interpretable,linear,number_tokens,40.130828750401456
text,interpretable,linear,punctuation,-13.839550116253058
text,interpretable,linear,cost_mean,-5.566690820119184
text,interpretable,ridge,mean_price,0.2674543222154507
text,interpretable,ridge,price_sd,-2.2485227091121205
text,interpretable,ridge,log_trades,3.0922174067938166
text,interpretable,ridge,log_units,1.8740240459005981
text,interpretable,ridge,words,0.9155987864291224
text,interpretable,ridge,characters,0.682514728572021
text,interpretable,ridge,mean_word_length,-0.2444235061871011
text,interpretable,ridge,question_mark,-1.7582772078198934
text,interpretable,ridge,threshold,-2.0920943116791375
text,interpretable,ridge,negation,0.5259451416438985
text,interpretable,ridge,positive_words,-3.43279378224376
text,interpretable,ridge,negative_words,2.64157821323981
text,interpretable,ridge,political_words,-5.941627658265459
text,interpretable,ridge,capitalized_tokens,-1.8157194410496895
text,interpretable,ridge,number_tokens,1.58232592395692
text,interpretable,ridge,punctuation,-1.1783548297503672
text,interpretable,ridge,cost_mean,-2.9899164764036854
text,interpretable_lsa,linear,mean_price,3.0702672743425614
text,interpretable_lsa,linear,price_sd,-8.335643667560209
text,interpretable_lsa,linear,log_trades,17.70934562086331
text,interpretable_lsa,linear,log_units,4.7572186150253675
text,interpretable_lsa,linear,words,369.7763923595274
text,interpretable_lsa,linear,characters,-547.9179100754046
text,interpretable_lsa,linear,mean_word_length,296.95448370661467
text,interpretable_lsa,linear,question_mark,-93.85921140789985
text,interpretable_lsa,linear,threshold,77.87919669776475
text,interpretable_lsa,linear,negation,4.625896830008736
text,interpretable_lsa,linear,positive_words,95.93247012692957
text,interpretable_lsa,linear,negative_words,2.0762851592798546
text,interpretable_lsa,linear,political_words,-9.100641268814591
text,interpretable_lsa,linear,capitalized_tokens,76.15309219701712
text,interpretable_lsa,linear,number_tokens,490.6906769033086
text,interpretable_lsa,linear,punctuation,-1.7474734202012294
text,interpretable_lsa,linear,cost_mean,-12.261423232400102
text,interpretable_lsa,linear,lsa_00,-72.8168372011945
text,interpretable_lsa,linear,lsa_01,-94.8490714720514
text,interpretable_lsa,linear,lsa_02,-118.1697527765292
text,interpretable_lsa,linear,lsa_03,-79.78125260764509
text,interpretable_lsa,linear,lsa_04,12.824603704527306
text,interpretable_lsa,linear,lsa_05,-23.04078646498346
text,interpretable_lsa,linear,lsa_06,4.950014578172281
text,interpretable_lsa,linear,lsa_07,117.08248039035676
text,interpretable_lsa,linear,lsa_08,-31.250780509841004
text,interpretable_lsa,linear,lsa_09,-12.548139629429775
text,interpretable_lsa,linear,lsa_10,286.29725210905167
text,interpretable_lsa,linear,lsa_11,145.20760588291742
text,interpretable_lsa,linear,lsa_12,96.49112982294892
text,interpretable_lsa,linear,lsa_13,250.371834602211
text,interpretable_lsa,linear,lsa_14,164.15579057973608
text,interpretable_lsa,linear,lsa_15,-62.76282121449305
text,interpretable_lsa,linear,lsa_16,78.93267909696378
text,interpretable_lsa,linear,lsa_17,-300.3158344135117
text,interpretable_lsa,linear,lsa_18,-43.51205788413129
text,interpretable_lsa,linear,lsa_19,54.89063827060855
text,interpretable_lsa,linear,lsa_20,57.75298811442498
text,interpretable_lsa,linear,lsa_21,34.56986778761944
text,interpretable_lsa,linear,lsa_22,-53.59395832468879
text,interpretable_lsa,linear,lsa_23,36.29607877454921
text,interpretable_lsa,linear,lsa_24,105.21646606109182
text,interpretable_lsa,linear,lsa_25,27.441737474806818
text,interpretable_lsa,linear,lsa_26,-156.65212348958352
text,interpretable_lsa,linear,lsa_27,3.8145015339867254
text,interpretable_lsa,linear,lsa_28,118.93419444435769
text,interpretable_lsa,linear,lsa_29,-69.89115740243629
text,interpretable_lsa,linear,lsa_30,-34.169646226657015
text,interpretable_lsa,linear,lsa_31,-50.10159119182074
text,interpretable_lsa,ridge,mean_price,1.0445825973366307
text,interpretable_lsa,ridge,price_sd,0.5735344755866448
text,interpretable_lsa,ridge,log_trades,-0.06714261620937136
text,interpretable_lsa,ridge,log_units,0.25255907220276236
text,interpretable_lsa,ridge,words,0.17086351279607045
text,interpretable_lsa,ridge,characters,-0.009004881206383727
text,interpretable_lsa,ridge,mean_word_length,-1.0867076808457483
text,interpretable_lsa,ridge,question_mark,-0.04768218990206088
text,interpretable_lsa,ridge,threshold,-0.859029875401701
text,interpretable_lsa,ridge,negation,2.3721943751346832
text,interpretable_lsa,ridge,positive_words,-1.6707895288476418
text,interpretable_lsa,ridge,negative_words,1.3741351147522392
text,interpretable_lsa,ridge,political_words,-1.1175277684539398
text,interpretable_lsa,ridge,capitalized_tokens,-0.883807906142629
text,interpretable_lsa,ridge,number_tokens,1.3187622378951245
text,interpretable_lsa,ridge,punctuation,1.0238380567777985
text,interpretable_lsa,ridge,cost_mean,-2.9562743584191913
text,interpretable_lsa,ridge,lsa_00,0.33941043424358047
text,interpretable_lsa,ridge,lsa_01,-1.4778354052857618
text,interpretable_lsa,ridge,lsa_02,-0.11061972812039708
text,interpretable_lsa,ridge,lsa_03,-2.0129767265020435
text,interpretable_lsa,ridge,lsa_04,-0.2109642800064995
text,interpretable_lsa,ridge,lsa_05,-0.316452411511874
text,interpretable_lsa,ridge,lsa_06,0.9538859847932833
text,interpretable_lsa,ridge,lsa_07,1.375978635626782
text,interpretable_lsa,ridge,lsa_08,-0.33859510623718425
text,interpretable_lsa,ridge,lsa_09,1.413366967252194
text,interpretable_lsa,ridge,lsa_10,-0.4392629345075579
text,interpretable_lsa,ridge,lsa_11,1.6619221336142556
text,interpretable_lsa,ridge,lsa_12,-1.355840776090671
text,interpretable_lsa,ridge,lsa_13,-1.267466780453592
text,interpretable_lsa,ridge,lsa_14,-1.4303015184301195
text,interpretable_lsa,ridge,lsa_15,-0.36803791400406016
text,interpretable_lsa,ridge,lsa_16,-0.15963132313323625
text,interpretable_lsa,ridge,lsa_17,-1.4688934896805188
text,interpretable_lsa,ridge,lsa_18,0.4796481043139035
text,interpretable_lsa,ridge,lsa_19,-1.7947969468170124
text,interpretable_lsa,ridge,lsa_20,-0.7955708488988205
text,interpretable_lsa,ridge,lsa_21,0.8773187478790199
text,interpretable_lsa,ridge,lsa_22,-2.1385332349766304
text,interpretable_lsa,ridge,lsa_23,1.039635554877237
text,interpretable_lsa,ridge,lsa_24,-1.3056564425414507
text,interpretable_lsa,ridge,lsa_25,1.7808076710521867
text,interpretable_lsa,ridge,lsa_26,-1.1832878816146661
text,interpretable_lsa,ridge,lsa_27,0.9939106432133639
text,interpretable_lsa,ridge,lsa_28,-0.18725019695376888
text,interpretable_lsa,ridge,lsa_29,2.2994463899597686
text,interpretable_lsa,ridge,lsa_30,-0.5762867447074083
text,interpretable_lsa,ridge,lsa_31,-0.22807295690032095
