approach,block,model,feature,coefficient_pp
text_price,market,linear,mean_price,-2.2221923613832897
text_price,market,linear,price_sd,-0.11146981494395769
text_price,market,linear,log_trades,2.9406697378560356
text_price,market,linear,log_units,-0.9906342051859477
text_price,market,linear,cost_mean,-2.0810236732856486
text_price,market,ridge,mean_price,-2.0653218975816143
text_price,market,ridge,price_sd,-0.4906956190690957
text_price,market,ridge,log_trades,2.217365960443765
text_price,market,ridge,log_units,-0.5844785180656412
text_price,market,ridge,cost_mean,-1.6925545116593212
text_price,interpretable,linear,mean_price,0.1149342432383915
text_price,interpretable,linear,price_sd,0.05164610294920413
text_price,interpretable,linear,log_trades,-2.0406911669046353
text_price,interpretable,linear,log_units,7.454866895154968
text_price,interpretable,linear,words,100.39631228695593
text_price,interpretable,linear,characters,-92.58166092352998
text_price,interpretable,linear,mean_word_length,40.071394392760986
text_price,interpretable,linear,question_mark,-4.208480578582296
text_price,interpretable,linear,threshold,-7.384206014606337
text_price,interpretable,linear,negation,4.6829206891752415
text_price,interpretable,linear,positive_words,-2.945053700263588
text_price,interpretable,linear,negative_words,0.7622833068095415
text_price,interpretable,linear,political_words,4.10225793644674
text_price,interpretable,linear,capitalized_tokens,-20.126005237172887
text_price,interpretable,linear,number_tokens,42.3245209861558
text_price,interpretable,linear,punctuation,-4.133438488540341
text_price,interpretable,linear,cost_mean,-4.439659325617743
text_price,interpretable,ridge,mean_price,-1.4719151288828234
text_price,interpretable,ridge,price_sd,-1.4185231009771215
text_price,interpretable,ridge,log_trades,2.131806984025326
text_price,interpretable,ridge,log_units,2.0468600282129623
text_price,interpretable,ridge,words,0.2919784684344098
text_price,interpretable,ridge,characters,-0.4163863632743689
text_price,interpretable,ridge,mean_word_length,0.9224460505135711
text_price,interpretable,ridge,question_mark,-0.29004999982983154
text_price,interpretable,ridge,threshold,-1.004900729572872
text_price,interpretable,ridge,negation,1.812500286946756
text_price,interpretable,ridge,positive_words,-3.6431979349317074
text_price,interpretable,ridge,negative_words,0.7690392102220437
text_price,interpretable,ridge,political_words,-1.3524866687286448
text_price,interpretable,ridge,capitalized_tokens,-1.9197399003881253
text_price,interpretable,ridge,number_tokens,0.8767933250652346
text_price,interpretable,ridge,punctuation,-1.4025497670805407
text_price,interpretable,ridge,cost_mean,-2.1997381028004517
text_price,interpretable_lsa,linear,mean_price,14.923671145428909
text_price,interpretable_lsa,linear,price_sd,-5.325723540439547
text_price,interpretable_lsa,linear,log_trades,27.11112396150142
text_price,interpretable_lsa,linear,log_units,-14.98099080541773
text_price,interpretable_lsa,linear,words,301.76805569301473
text_price,interpretable_lsa,linear,characters,-367.56353730667144
text_price,interpretable_lsa,linear,mean_word_length,231.85339928488324
text_price,interpretable_lsa,linear,question_mark,-41.861908545168085
text_price,interpretable_lsa,linear,threshold,34.087812271091124
text_price,interpretable_lsa,linear,negation,2.945387038324607
text_price,interpretable_lsa,linear,positive_words,-9.952364210049321
text_price,interpretable_lsa,linear,negative_words,-1.1260469365151098
text_price,interpretable_lsa,linear,political_words,6.458830796877139
text_price,interpretable_lsa,linear,capitalized_tokens,-6.872202393045715
text_price,interpretable_lsa,linear,number_tokens,71.5929098143181
text_price,interpretable_lsa,linear,punctuation,19.008481940819248
text_price,interpretable_lsa,linear,cost_mean,-7.054424581053607
text_price,interpretable_lsa,linear,lsa_00,29.434392174942996
text_price,interpretable_lsa,linear,lsa_01,31.17865158251402
text_price,interpretable_lsa,linear,lsa_02,-26.275966567412052
text_price,interpretable_lsa,linear,lsa_03,-56.85271238594333
text_price,interpretable_lsa,linear,lsa_04,41.84392097464217
text_price,interpretable_lsa,linear,lsa_05,-66.99337574973801
text_price,interpretable_lsa,linear,lsa_06,-60.330931617922005
text_price,interpretable_lsa,linear,lsa_07,61.593243991187805
text_price,interpretable_lsa,linear,lsa_08,103.36050215208992
text_price,interpretable_lsa,linear,lsa_09,-87.87777548959514
text_price,interpretable_lsa,linear,lsa_10,-41.75303120598506
text_price,interpretable_lsa,linear,lsa_11,-16.84138305260725
text_price,interpretable_lsa,linear,lsa_12,-142.59448822313945
text_price,interpretable_lsa,linear,lsa_13,-5.645042654329164
text_price,interpretable_lsa,linear,lsa_14,33.03072169776062
text_price,interpretable_lsa,linear,lsa_15,-3.0570885082313852
text_price,interpretable_lsa,linear,lsa_16,-4.276661658516856
text_price,interpretable_lsa,linear,lsa_17,-59.063090957289
text_price,interpretable_lsa,linear,lsa_18,-53.497911670892165
text_price,interpretable_lsa,linear,lsa_19,-32.91962389277324
text_price,interpretable_lsa,linear,lsa_20,96.00842177427182
text_price,interpretable_lsa,linear,lsa_21,136.13354261042107
text_price,interpretable_lsa,linear,lsa_22,-2.812173748818574
text_price,interpretable_lsa,linear,lsa_23,-30.44959263641728
text_price,interpretable_lsa,linear,lsa_24,29.742757225646653
text_price,interpretable_lsa,linear,lsa_25,-63.06863336883301
text_price,interpretable_lsa,linear,lsa_26,-65.07651303159625
text_price,interpretable_lsa,linear,lsa_27,-4.1111561148513465
text_price,interpretable_lsa,linear,lsa_28,-12.566415357634234
text_price,interpretable_lsa,linear,lsa_29,-2.7923010163930804
text_price,interpretable_lsa,linear,lsa_30,-9.539022484431412
text_price,interpretable_lsa,linear,lsa_31,-21.678312742423202
text_price,interpretable_lsa,ridge,mean_price,0.20974913957295346
text_price,interpretable_lsa,ridge,price_sd,0.4758049193522018
text_price,interpretable_lsa,ridge,log_trades,0.2208207149417359
text_price,interpretable_lsa,ridge,log_units,1.128546576978237
text_price,interpretable_lsa,ridge,words,-0.007289514570771408
text_price,interpretable_lsa,ridge,characters,-0.2291612409411479
text_price,interpretable_lsa,ridge,mean_word_length,-0.41763725605062857
text_price,interpretable_lsa,ridge,question_mark,-0.34495227378779886
text_price,interpretable_lsa,ridge,threshold,-0.8902733386494451
text_price,interpretable_lsa,ridge,negation,2.8834434322818323
text_price,interpretable_lsa,ridge,positive_words,-1.8443988541567105
text_price,interpretable_lsa,ridge,negative_words,0.09598460981603776
text_price,interpretable_lsa,ridge,political_words,0.2899444616444111
text_price,interpretable_lsa,ridge,capitalized_tokens,-0.9365033533585136
text_price,interpretable_lsa,ridge,number_tokens,0.8230760390337871
text_price,interpretable_lsa,ridge,punctuation,0.580663093778742
text_price,interpretable_lsa,ridge,cost_mean,-2.4381677171017833
text_price,interpretable_lsa,ridge,lsa_00,0.644736979673097
text_price,interpretable_lsa,ridge,lsa_01,-1.433655633699333
text_price,interpretable_lsa,ridge,lsa_02,-0.2891782540335396
text_price,interpretable_lsa,ridge,lsa_03,-1.586369435787202
text_price,interpretable_lsa,ridge,lsa_04,0.09542354722663372
text_price,interpretable_lsa,ridge,lsa_05,-1.1560011597146058
text_price,interpretable_lsa,ridge,lsa_06,0.3331956151382939
text_price,interpretable_lsa,ridge,lsa_07,0.5761565481076604
text_price,interpretable_lsa,ridge,lsa_08,-0.7366549260815696
text_price,interpretable_lsa,ridge,lsa_09,0.05157599485859066
text_price,interpretable_lsa,ridge,lsa_10,0.7314681406745946
text_price,interpretable_lsa,ridge,lsa_11,0.8313233487127164
text_price,interpretable_lsa,ridge,lsa_12,-1.3570746001207343
text_price,interpretable_lsa,ridge,lsa_13,-0.629687625076752
text_price,interpretable_lsa,ridge,lsa_14,-0.971038172195975
text_price,interpretable_lsa,ridge,lsa_15,-0.15074322163066495
text_price,interpretable_lsa,ridge,lsa_16,-0.3150342839896452
text_price,interpretable_lsa,ridge,lsa_17,-0.38777729284309526
text_price,interpretable_lsa,ridge,lsa_18,0.15318467536913913
text_price,interpretable_lsa,ridge,lsa_19,-0.4513786389862834
text_price,interpretable_lsa,ridge,lsa_20,-0.41373364237958654
text_price,interpretable_lsa,ridge,lsa_21,0.5164493585908173
text_price,interpretable_lsa,ridge,lsa_22,-0.9241551000282952
text_price,interpretable_lsa,ridge,lsa_23,0.7446790907236222
text_price,interpretable_lsa,ridge,lsa_24,-0.6780737794339021
text_price,interpretable_lsa,ridge,lsa_25,-0.33997556749531643
text_price,interpretable_lsa,ridge,lsa_26,-0.569567869729675
text_price,interpretable_lsa,ridge,lsa_27,-0.2527214903588465
text_price,interpretable_lsa,ridge,lsa_28,-0.40679531283162773
text_price,interpretable_lsa,ridge,lsa_29,2.151031315883767
text_price,interpretable_lsa,ridge,lsa_30,0.5275188407195714
text_price,interpretable_lsa,ridge,lsa_31,-1.1326003543531402
