split,cluster,band,cost,direction,retained,contracts,events,trades
test,1,0,1,N,False,4,4,19
test,1,0,1,Y,False,7,4,51
test,1,0,2,N,False,3,3,6
test,1,0,2,Y,False,3,3,43
test,1,0,3,N,False,3,2,4
test,1,0,3,Y,False,4,3,29
test,1,0,4,N,False,4,3,6
test,1,0,4,Y,False,3,3,8
test,1,0,5,N,False,2,2,4
test,1,0,5,Y,False,5,4,10
test,1,0,6,N,False,1,1,2
test,1,0,6,Y,False,2,2,7
test,1,0,7,N,False,1,1,1
test,1,0,7,Y,False,6,4,7
test,1,0,8,N,False,3,3,3
test,1,0,8,Y,False,4,2,5
test,1,0,9,N,False,2,2,4
test,1,0,9,Y,False,4,4,6
test,1,0,10,N,False,3,3,5
test,1,0,10,Y,False,6,6,14
test,1,1,11,N,False,4,4,8
test,1,1,11,Y,False,5,4,11
test,1,1,12,N,False,2,2,6
test,1,1,12,Y,False,7,6,14
test,1,1,13,N,False,1,1,3
test,1,1,13,Y,False,8,6,23
test,1,1,14,N,False,2,2,4
test,1,1,14,Y,False,6,5,9
test,1,1,15,N,False,4,4,4
test,1,1,15,Y,False,10,7,16
test,1,1,16,N,False,3,3,6
test,1,1,16,Y,False,5,5,8
test,1,1,17,N,False,6,5,11
test,1,1,17,Y,False,4,4,16
test,1,1,18,N,False,5,4,8
test,1,1,18,Y,False,4,4,8
test,1,1,19,N,True,6,5,10
test,1,1,19,Y,True,5,5,32
test,1,1,20,N,False,5,5,12
test,1,1,20,Y,False,2,2,41
test,1,2,21,N,True,8,7,20
test,1,2,21,Y,True,5,5,45
test,1,2,22,N,False,5,4,22
test,1,2,22,Y,False,3,2,57
test,1,2,23,N,True,8,7,19
test,1,2,23,Y,True,5,5,32
test,1,2,24,N,False,3,3,19
test,1,2,24,Y,False,4,4,51
test,1,2,25,N,True,9,9,22
test,1,2,25,Y,True,9,9,67
test,1,2,26,N,False,5,5,16
test,1,2,26,Y,False,4,4,47
test,1,2,27,N,False,4,4,16
test,1,2,27,Y,False,4,4,52
test,1,2,28,N,False,7,7,23
test,1,2,28,Y,False,3,3,59
test,1,2,29,N,True,7,7,17
test,1,2,29,Y,True,8,8,68
test,1,2,30,N,True,8,7,29
test,1,2,30,Y,True,6,6,92
test,1,3,31,N,True,6,5,18
test,1,3,31,Y,True,11,9,51
test,1,3,32,N,True,5,5,23
test,1,3,32,Y,True,5,5,47
test,1,3,33,N,False,4,4,23
test,1,3,33,Y,False,8,6,55
test,1,3,34,N,True,6,5,23
test,1,3,34,Y,True,7,7,41
test,1,3,35,N,True,9,8,46
test,1,3,35,Y,True,13,10,53
test,1,3,36,N,True,8,8,27
test,1,3,36,Y,True,5,5,49
test,1,3,37,N,True,7,7,30
test,1,3,37,Y,True,6,6,50
test,1,3,38,N,True,9,8,29
test,1,3,38,Y,True,7,7,23
test,1,3,39,N,False,11,10,66
test,1,3,39,Y,False,3,3,9
test,1,3,40,N,True,12,11,60
test,1,3,40,Y,True,8,8,25
test,1,4,41,N,True,6,6,55
test,1,4,41,Y,True,8,7,22
test,1,4,42,N,True,7,6,63
test,1,4,42,Y,True,9,8,18
test,1,4,43,N,True,7,6,40
test,1,4,43,Y,True,10,9,29
test,1,4,44,N,True,7,7,46
test,1,4,44,Y,True,10,9,25
test,1,4,45,N,True,9,9,65
test,1,4,45,Y,True,14,13,54
test,1,4,46,N,True,8,7,57
test,1,4,46,Y,True,13,12,64
test,1,4,47,N,True,6,6,46
test,1,4,47,Y,True,5,5,40
test,1,4,48,N,True,7,6,55
test,1,4,48,Y,True,6,6,52
test,1,4,49,N,True,8,8,73
test,1,4,49,Y,True,8,8,73
test,2,0,6,N,False,1,1,1
test,2,0,8,Y,False,1,1,1
test,2,0,10,N,False,1,1,9
test,2,0,10,Y,False,1,1,2
test,2,1,11,Y,False,2,2,2
test,2,1,12,Y,False,1,1,9
test,2,1,14,Y,False,1,1,2
test,2,1,15,N,False,1,1,1
test,2,1,15,Y,False,1,1,7
test,2,1,16,Y,False,1,1,4
test,2,1,17,N,False,1,1,1
test,2,1,17,Y,False,2,1,3
test,2,1,18,N,False,1,1,1
test,2,1,18,Y,False,2,1,9
test,2,1,19,N,False,2,2,6
test,2,1,19,Y,False,2,1,2
test,2,1,20,N,False,2,2,4
test,2,1,20,Y,False,1,1,4
test,2,2,21,N,False,1,1,1
test,2,2,21,Y,False,3,2,8
test,2,2,22,Y,False,4,2,12
test,2,2,23,Y,False,2,2,4
test,2,2,24,Y,False,3,1,7
test,2,2,25,N,False,1,1,9
test,2,2,25,Y,False,1,1,2
test,2,2,26,N,False,1,1,18
test,2,2,26,Y,False,2,1,4
test,2,2,27,N,False,2,2,24
test,2,2,27,Y,False,3,1,5
test,2,2,28,N,False,1,1,12
test,2,2,28,Y,False,4,1,11
test,2,2,29,N,False,1,1,12
test,2,2,29,Y,False,1,1,11
test,2,2,30,N,False,1,1,29
test,2,2,30,Y,False,3,1,5
test,2,3,31,N,False,1,1,34
test,2,3,31,Y,False,3,1,3
test,2,3,32,N,False,1,1,28
test,2,3,32,Y,False,4,1,11
test,2,3,33,N,False,1,1,24
test,2,3,33,Y,False,3,1,6
test,2,3,34,N,False,1,1,22
test,2,3,34,Y,False,2,1,4
test,2,3,35,N,False,1,1,21
test,2,3,35,Y,False,4,1,8
test,2,3,36,N,False,1,1,16
test,2,3,36,Y,False,3,1,18
test,2,3,37,N,False,1,1,14
test,2,3,37,Y,False,3,1,22
test,2,3,38,N,False,1,1,8
test,2,3,38,Y,False,3,1,10
test,2,3,39,N,False,1,1,13
test,2,3,39,Y,False,3,1,12
test,2,3,40,N,False,1,1,9
test,2,3,40,Y,False,2,1,8
test,2,4,41,N,False,1,1,31
test,2,4,41,Y,False,1,1,2
test,2,4,42,N,False,1,1,13
test,2,4,42,Y,False,2,1,3
test,2,4,43,N,False,1,1,1
test,2,4,43,Y,False,2,1,11
test,2,4,44,N,False,1,1,4
test,2,4,44,Y,False,1,1,18
test,2,4,45,N,False,1,1,2
test,2,4,45,Y,False,2,1,13
test,2,4,46,N,False,1,1,2
test,2,4,46,Y,False,1,1,4
test,2,4,47,N,False,1,1,2
test,2,4,47,Y,False,1,1,3
test,2,4,48,N,False,1,1,3
test,2,4,48,Y,False,1,1,2
test,2,4,49,N,False,1,1,1
test,2,4,49,Y,False,1,1,2
test,3,0,1,N,False,2,2,2
test,3,0,1,Y,False,2,2,67
test,3,0,2,N,False,2,2,2
test,3,0,2,Y,False,4,3,53
test,3,0,3,N,False,4,4,4
test,3,0,3,Y,False,2,2,41
