split,cluster,band,cost,direction,retained,contracts,events,trades
test,2,0,1,N,False,2,2,4
test,2,0,1,Y,False,3,3,4
test,2,0,2,N,False,1,1,1
test,2,0,2,Y,False,3,3,4
test,2,0,3,N,False,2,2,2
test,2,0,3,Y,False,2,2,4
test,2,0,4,Y,False,1,1,4
test,2,0,5,N,False,2,2,2
test,2,0,5,Y,False,3,3,7
test,2,0,6,N,False,2,2,2
test,2,0,6,Y,False,5,5,7
test,2,0,7,N,False,4,4,12
test,2,0,7,Y,False,4,4,23
test,2,0,8,N,False,3,3,9
test,2,0,8,Y,False,5,5,42
test,2,0,9,N,False,3,3,7
test,2,0,9,Y,False,5,5,17
test,2,0,10,N,False,3,3,5
test,2,0,10,Y,False,7,7,28
test,2,1,11,N,False,5,5,9
test,2,1,11,Y,False,3,3,19
test,2,1,12,N,False,6,6,12
test,2,1,12,Y,False,3,3,9
test,2,1,13,N,False,5,5,12
test,2,1,13,Y,False,4,4,12
test,2,1,14,N,False,3,3,8
test,2,1,14,Y,False,5,5,39
test,2,1,15,N,False,3,3,6
test,2,1,15,Y,False,3,3,5
test,2,1,16,N,False,1,1,2
test,2,1,16,Y,False,3,3,14
test,2,1,17,N,False,1,1,1
test,2,1,17,Y,False,5,5,16
test,2,1,18,N,False,2,2,3
test,2,1,18,Y,False,6,5,7
test,2,1,19,N,False,3,3,8
test,2,1,19,Y,False,6,5,7
test,2,1,20,N,True,5,5,6
test,2,1,20,Y,True,7,5,10
test,2,2,21,N,False,4,4,21
test,2,2,21,Y,False,6,6,19
test,2,2,22,N,True,8,8,23
test,2,2,22,Y,True,6,6,26
test,2,2,23,N,False,7,7,13
test,2,2,23,Y,False,3,3,6
test,2,2,24,N,False,4,4,5
test,2,2,24,Y,False,4,4,17
test,2,2,25,N,True,10,10,28
test,2,2,25,Y,True,6,6,22
test,2,2,26,N,True,6,6,11
test,2,2,26,Y,True,5,5,22
test,2,2,27,N,False,7,7,16
test,2,2,27,Y,False,4,4,16
test,2,2,28,N,False,5,5,11
test,2,2,28,Y,False,4,4,13
test,2,2,29,N,True,11,11,21
test,2,2,29,Y,True,8,8,15
test,2,2,30,N,True,10,10,28
test,2,2,30,Y,True,8,8,59
test,2,3,31,N,True,12,11,41
test,2,3,31,Y,True,6,6,13
test,2,3,32,N,True,8,8,21
test,2,3,32,Y,True,7,7,11
test,2,3,33,N,True,8,8,23
test,2,3,33,Y,True,5,5,8
test,2,3,34,N,True,7,6,13
test,2,3,34,Y,True,5,5,8
test,2,3,35,N,True,11,11,37
test,2,3,35,Y,True,8,8,13
test,2,3,36,N,True,10,9,44
