column_name,column_type,null,key,default,extra
ticker,VARCHAR,YES,,,
event_ticker,VARCHAR,YES,,,
market_type,VARCHAR,YES,,,
title,VARCHAR,YES,,,
yes_sub_title,VARCHAR,YES,,,
no_sub_title,VARCHAR,YES,,,
status,VARCHAR,YES,,,
yes_bid,BIGINT,YES,,,
yes_ask,BIGINT,YES,,,
no_bid,BIGINT,YES,,,
no_ask,BIGINT,YES,,,
last_price,BIGINT,YES,,,
volume,BIGINT,YES,,,
volume_24h,BIGINT,YES,,,
open_interest,BIGINT,YES,,,
result,VARCHAR,YES,,,
created_time,TIMESTAMP WITH TIME ZONE,YES,,,
open_time,TIMESTAMP WITH TIME ZONE,YES,,,
close_time,TIMESTAMP WITH TIME ZONE,YES,,,
_fetched_at,TIMESTAMP_NS,YES,,,
