approach,block,model,train_rows,test_rows,test_clusters,mae_pp,rmse_pp,r2,mae_improvement_pp,improvement_ci_low_pp,improvement_ci_high_pp
text,market,mean,62,16,6,14.71582483861521,22.997257572149522,-0.4364769309275611,0.0,0.0,0.0
text,market,median,62,16,6,13.568911662573033,21.906842005304625,-0.30348521418058594,1.1469131760421778,-0.08650025992304758,2.1062347373484642
text,market,linear,62,16,6,19.793155783676553,28.4727907314481,-1.2019458232607416,-5.077330945061343,-7.695883554463229,-1.0462170891264049
text,market,ridge,62,16,6,18.49664325415928,27.08096159960055,-0.9919329688756326,-3.7808184155440703,-6.17543116817705,0.19209808218658567
text,market,huber,62,16,6,14.5750018835454,23.014994077067,-0.4386935347971255,0.1408229550698099,-0.7731670608486049,1.0781428443265104
text,market,forest,62,16,6,18.775932079946386,28.297363111469007,-1.1748959895550222,-4.060107241331176,-6.441677542915921,-0.11107523204329137
text,interpretable,linear,62,16,6,37.5904624972904,49.21952290913249,-5.579931258248471,-22.87463765867519,-40.16372840247335,-11.947103967668804
text,interpretable,ridge,62,16,6,20.10553831527895,29.85305242657514,-1.4206056594310352,-5.389713476663738,-10.830509490409511,0.6529510811474404
text,interpretable,forest,62,16,6,18.81038940031794,27.476127987747223,-1.0504898246143917,-4.094564561702731,-8.151993172603264,-0.2193259236765827
text,interpretable_lsa,linear,62,16,6,80.82874319858237,157.1035789904066,-66.03763966216603,-66.11291835996717,-185.32260191752272,-12.713647841022096
text,interpretable_lsa,ridge,62,16,6,25.122314426486476,33.09832145660914,-1.9754900081790074,-10.406489587871265,-17.177252321016578,-2.2508254946942645
text,interpretable_lsa,forest,62,16,6,17.327745850012633,26.633245434275953,-0.9266141232032368,-2.6119210113974223,-6.162334790395661,0.6745144623852335
