approach,block,model,train_rows,test_rows,test_clusters,mae_pp,rmse_pp,r2,mae_improvement_pp,improvement_ci_low_pp,improvement_ci_high_pp
text,market,mean,62,16,6,14.71582483861521,22.997257572149522,-0.4364769309275611,0.0,0.0,0.0
text,market,median,62,16,6,13.568911662573033,21.906842005304625,-0.30348521418058594,1.1469131760421778,-0.08650025992304758,2.1062347373484642
text,market,linear,62,16,6,19.793155783676553,28.4727907314481,-1.2019458232607416,-5.077330945061343,-7.695883554463229,-1.0462170891264049
text,market,ridge,62,16,6,18.49664325415928,27.08096159960055,-0.9919329688756326,-3.7808184155440703,-6.17543116817705,0.19209808218658567
text,market,huber,62,16,6,14.5750018835454,23.014994077067,-0.4386935347971255,0.1408229550698099,-0.7731670608486049,1.0781428443265104
text,market,forest,62,16,6,18.775932079946386,28.297363111469007,-1.1748959895550222,-4.060107241331176,-6.441677542915921,-0.11107523204329137
text,interpretable,linear,62,16,6,37.5904624972904,49.21952290913249,-5.579931258248471,-22.87463765867519,-40.16372840247335,-11.947103967668804
text,interpretable,ridge,62,16,6,20.10553831527895,29.85305242657514,-1.4206056594310352,-5.389713476663738,-10.830509490409511,0.6529510811474404
text,interpretable,forest,62,16,6,18.81038940031794,27.476127987747223,-1.0504898246143917,-4.094564561702731,-8.151993172603264,-0.2193259236765827
text,interpretable_lsa,linear,62,16,6,80.82874319858237,157.1035789904066,-66.03763966216603,-66.11291835996717,-185.32260191752272,-12.713647841022096
text,interpretable_lsa,ridge,62,16,6,25.122314426486476,33.09832145660914,-1.9754900081790074,-10.406489587871265,-17.177252321016578,-2.2508254946942645
text,interpretable_lsa,forest,62,16,6,17.327745850012633,26.633245434275953,-0.9266141232032368,-2.6119210113974223,-6.162334790395661,0.6745144623852335
text_price,market,mean,62,18,6,16.616835905662917,25.264172189445777,-0.5702471974412338,0.0,0.0,0.0
text_price,market,median,62,18,6,15.515449321227,24.25027353694547,-0.4467422516494748,1.1013865844359163,0.32930353897413367,1.7491911783402205
text_price,market,linear,62,18,6,19.61431268059288,28.3363166315693,-0.975352812603532,-2.9974767749299644,-4.959167504177183,-0.46689142720270405
text_price,market,ridge,62,18,6,18.92681050902433,27.68557637404017,-0.8856670849091366,-2.3099746033614146,-4.123952615461252,0.003051674972200343
text_price,market,huber,62,18,6,17.270127331616884,26.160271767999326,-0.6836134417498072,-0.6532914259539666,-1.8905962809950354,0.773510622638366
text_price,market,forest,62,18,6,19.259826925398183,28.133199150451546,-0.9471352662207992,-2.642991019735266,-4.146145641063476,-0.4068421373989848
text_price,interpretable,linear,62,18,6,30.6461433654395,40.094063390281434,-2.954740823899822,-14.029307459776582,-26.193267994784247,-7.56833014996861
text_price,interpretable,ridge,62,18,6,20.67393940036274,30.548677530173496,-1.2958457710971012,-4.057103494699824,-8.776708213942703,-0.3170650294570195
text_price,interpretable,forest,62,18,6,19.12972837747912,27.667300941661534,-0.883178423900935,-2.512892471816201,-4.76454148077908,-0.6901727674135713
text_price,interpretable_lsa,linear,62,18,6,68.6672899781694,102.46919178224357,-24.831195313727516,-52.05045407250649,-134.31956934697422,-20.96850403664859
text_price,interpretable_lsa,ridge,62,18,6,24.937839019315717,34.526371028630585,-1.932646714333969,-8.3210031136528,-15.789547948869366,-3.614583591373452
text_price,interpretable_lsa,forest,62,18,6,18.625306869479104,27.896800932710008,-0.9145498927622449,-2.008470963816187,-7.455437365308651,1.6382348518137724
