approach,split,cluster,band,cost_low,cost_high,costs,n_costs,contracts,events,trades_total,contracts_Y,events_Y,trades_Y,contracts_N,events_N,trades_N,training_text_coherence,status,delta_yes_pp,delta_no_pp,wedge_pp,ci_low_pp,ci_high_pp,se_pp,bootstrap_valid,mean_price,price_sd,log_trades,log_units,words,characters,mean_word_length,question_mark,threshold,negation,positive_words,negative_words,political_words,capitalized_tokens,number_tokens,punctuation,lsa_00,lsa_01,lsa_02,lsa_03,lsa_04,lsa_05,lsa_06,lsa_07,lsa_08,lsa_09,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20,lsa_21,lsa_22,lsa_23,lsa_24,lsa_25,lsa_26,lsa_27,lsa_28,lsa_29,lsa_30,lsa_31,cost_mean
text,test,1,0,1,10,,0,0,0,0,0,0,0,0,0,0,0.9350112323386812,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,1,1,11,20,19,1,11,8,42,5,5,32,6,5,10,0.9350112323386812,insufficient_support,,,,,,,0,0.509809873741649,0.10748552700133297,3.2674272041944605,7.077923939568544,13.0,79.27272727272727,4.866317394726486,1.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,5.090909090909091,0.8181818181818182,0.2727272727272727,0.13566795508555943,-0.0204872824092302,0.10482630434532993,0.027778311737184425,0.08626476600151683,-0.06932822247855826,0.2020290442388011,-0.13515850909376767,0.2772920431820279,0.03074002032273614,0.04038333640847514,-0.3378326357899129,0.270174323028368,0.06278349739219127,0.06418054555553653,0.060610161568598525,-0.02001404290851254,0.03204059283528994,-0.06648013165214263,0.03264489828763045,-0.05622287614892731,0.09463149726104393,0.023485491167200338,-0.4106117789855402,0.5390162805807333,0.015591021069380297,-0.10899945174923537,0.04403215696290383,-0.09474958934767151,-0.02574452654560393,-0.18384230706579716,0.03235386584745804,0.19
text,test,1,2,21,30,"21,23,25,29,30",5,31,21,411,18,13,304,16,13,107,0.9350112323386812,insufficient_support,,,,,,,0,0.4570609283767491,0.10208962748034646,2.9773763897600345,6.835055218571188,11.451612903225806,69.80645161290323,4.966038844667876,1.0,0.06451612903225806,0.0,0.0,0.0,0.12903225806451613,4.290322580645161,0.5483870967741935,0.0967741935483871,0.1989276721330012,-0.044407000679613805,0.10689611776347638,0.04121995552932355,0.08824801369490808,-0.07119854420299496,0.2307563192209052,-0.15368034605360684,0.28829547313724524,0.027603925189482518,0.028741722660684393,-0.28076078780096847,0.2211841469829839,0.047559297545273944,0.08562474465488944,0.04161759005167988,-0.013276389946292268,0.02506000859367289,-0.07132600775778418,0.03081725483685373,-0.07078297985455886,0.1133550344212115,0.021969997060497744,-0.3930367208448085,0.4986973698220453,0.02033170077343809,-0.10448511396885297,0.03852900182226429,-0.08462226459412234,-0.022756800968760312,-0.18266101689243527,0.0482737500342903,0.256
text,test,1,3,31,40,"31,32,34,35,36,37,38,40",8,36,28,595,21,17,339,23,19,256,0.9350112323386812,eligible,41.222188340664886,-12.876804653228941,54.09899299389382,-56.10789581434662,84.53848273633804,47.865699472381046,196,0.5028632929865833,0.08248460907599925,2.9031759556409327,6.48663794050616,10.805555555555555,67.58333333333333,5.028525448317115,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.08333333333333333,4.361111111111111,0.75,0.19444444444444445,0.2035061734558301,-0.03442492197195278,0.08403214744002743,0.041762918274382665,0.07605557548385719,-0.06972181541620616,0.22220502986669877,-0.15848066265348792,0.29604311845267994,0.021201320652078148,0.009491716932647396,-0.2671221658023632,0.21209899187836204,0.05345128707394137,0.10203631474365543,0.038372854082363364,-0.009755448499113435,0.029101405547470507,-0.07190246506809088,0.029705130762056595,-0.06862578366711428,0.10690453774710319,0.023822524887319778,-0.3853358461886599,0.49283938200353083,0.023547893456969695,-0.11224011651117172,0.04391254258779745,-0.08099023062082915,-0.01542570694033496,-0.19225458818256322,0.05409496355732513,0.35375
text,test,1,4,41,49,"41,42,43,44,45,46,47,48,49",9,28,25,877,26,23,377,17,16,500,0.9350112323386812,insufficient_support,,,,,,,0,0.4725838491581685,0.07985326398925485,2.989834644869368,6.633967497051294,10.857142857142858,68.10714285714286,4.985417905507191,0.9642857142857143,0.03571428571428571,0.0,0.0,0.0,0.10714285714285714,4.107142857142857,0.8571428571428571,0.25,0.23729530828768067,-0.04829628878805371,0.0930518105952305,0.04542112966573548,0.08036049856799572,-0.08643274934733872,0.23410901140733767,-0.16530363838596723,0.3036983665394296,0.027552666711894488,0.02216244350600168,-0.2511375597527294,0.192746544581643,0.045888361125600706,0.10080727124819353,0.042067001702795946,-0.007533722170742907,0.02673170845968959,-0.07190971840095853,0.0367732575499055,-0.07954544798950422,0.12232716635293585,0.02426031171948734,-0.3665664580462843,0.4842497277411902,0.019206514814602827,-0.10178333684909835,0.0484480966179111,-0.07998361986895818,-0.018131833948852254,-0.17634007192705523,0.056227260907916174,0.45
text,test,2,0,1,10,,0,0,0,0,0,0,0,0,0,0,0.79623306310398,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,2,1,11,20,,0,0,0,0,0,0,0,0,0,0,0.79623306310398,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,2,2,21,30,,0,0,0,0,0,0,0,0,0,0,0.79623306310398,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,2,3,31,40,,0,0,0,0,0,0,0,0,0,0,0.79623306310398,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,2,4,41,49,,0,0,0,0,0,0,0,0,0,0,0.79623306310398,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
